outfit_id,top,bottom,shoes,top_color,bottom_color,shoe_color,top_fit,bottom_fit,shoe_fit,style_category,STYLE_SCORE,COLOR_SCORE,FIT_SCORE,final_score,label
O00020,turtleneck,chinos,sneakers,brown,green,white,tailored,oversized,regular,sport,0.59,0.8,0.74,0.7,average
O00021,sweater,track pants,heels,green,gray,beige,tailored,oversized,slim,business,0.75,0.53,0.74,0.68,average
O00022,black hoodie,track pants,oxfords,navy,green,brown,baggy,baggy,regular,sport,0.49,0.73,0.94,0.7,average
O00023,polo,cargo pants,sandals,navy,brown,black,baggy,tailored,tailored,streetwear,0.84,0.89,0.45,0.74,good
O00024,flannel,chinos,boots,navy,white,blue,regular,slim,slim,minimal,0.38,0.72,0.84,0.62,average
O00025,white tee,trousers,loafers,white,beige,green,tailored,slim,oversized,minimal,0.67,0.49,0.82,0.66,average
O00026,black hoodie,track pants,oxfords,red,white,black,baggy,regular,slim,business,0.74,0.73,0.51,0.67,average
O00027,navy blazer,skirt,boots,black,black,beige,regular,oversized,oversized,business,0.86,0.58,0.61,0.7,average
O00028,polo,trousers,heels,black,red,blue,tailored,slim,baggy,streetwear,0.94,0.65,0.84,0.82,good
O00029,sweater,shorts,sneakers,gray,navy,gray,regular,baggy,tailored,casual,0.77,0.94,0.55,0.76,good
O00030,sweater,chinos,loafers,blue,red,red,slim,oversized,regular,minimal,0.7,0.57,0.68,0.66,average
O00031,turtleneck,jeans,sandals,red,white,blue,regular,tailored,tailored,streetwear,0.32,0.7,0.71,0.55,bad
O00032,turtleneck,chinos,oxfords,white,navy,gray,slim,slim,tailored,streetwear,0.89,0.75,0.65,0.78,good
O00033,linen shirt,skirt,oxfords,black,blue,navy,baggy,oversized,baggy,streetwear,0.38,0.57,0.4,0.44,bad
O00034,flannel,trousers,loafers,brown,beige,brown,baggy,slim,oversized,minimal,0.92,0.65,0.49,0.71,average
O00035,white tee,skirt,boots,navy,black,beige,baggy,oversized,baggy,streetwear,0.76,0.73,0.84,0.78,good
O00036,flannel,trousers,oxfords,beige,white,brown,regular,regular,tailored,casual,0.47,0.46,0.43,0.46,bad
O00037,polo,cargo pants,sneakers,red,blue,blue,oversized,regular,regular,casual,0.66,0.52,0.79,0.66,average
O00038,white tee,shorts,loafers,navy,blue,green,baggy,slim,tailored,sport,0.46,0.49,0.79,0.57,average
O00039,tank top,chinos,heels,black,blue,navy,oversized,oversized,regular,business,0.56,0.53,0.62,0.57,average
O00040,polo,track pants,sneakers,navy,green,gray,baggy,regular,oversized,minimal,0.89,0.83,0.89,0.87,good
O00041,linen shirt,track pants,boots,blue,beige,navy,regular,regular,tailored,sport,0.78,0.91,0.69,0.79,good
O00042,denim jacket,trousers,loafers,black,red,white,tailored,oversized,baggy,minimal,0.33,0.48,0.73,0.49,bad
O00043,linen shirt,track pants,oxfords,white,navy,blue,slim,oversized,regular,casual,0.66,0.68,0.6,0.65,average
O00044,linen shirt,track pants,heels,green,beige,white,baggy,regular,slim,streetwear,0.56,0.61,0.57,0.58,average
O00045,flannel,chinos,sandals,navy,navy,black,oversized,oversized,oversized,sport,0.89,0.52,0.54,0.67,average
O00046,flannel,track pants,loafers,red,beige,black,slim,oversized,tailored,casual,0.9,0.82,0.67,0.81,good
O00047,turtleneck,shorts,sneakers,navy,blue,green,tailored,slim,oversized,streetwear,0.46,0.92,0.45,0.6,average
O00048,tank top,trousers,sneakers,blue,beige,green,regular,baggy,tailored,streetwear,0.77,0.87,0.67,0.77,good
O00049,tank top,chinos,heels,green,black,beige,regular,regular,oversized,minimal,0.42,0.54,0.52,0.49,bad
O00050,sweater,trousers,heels,navy,brown,white,oversized,tailored,regular,streetwear,0.63,0.54,0.54,0.58,average
O00051,polo,skirt,boots,beige,gray,beige,regular,slim,slim,business,0.94,0.83,0.54,0.79,good
O00052,white tee,track pants,oxfords,brown,white,gray,baggy,tailored,regular,casual,0.3,0.49,0.87,0.53,bad
O00053,flannel,trousers,sandals,beige,beige,brown,oversized,oversized,slim,minimal,0.73,0.53,0.52,0.61,average
O00054,flannel,shorts,sneakers,gray,red,red,oversized,tailored,oversized,casual,0.37,0.42,0.52,0.43,bad
O00055,sweater,chinos,sandals,white,gray,green,regular,regular,slim,business,0.67,0.42,0.5,0.54,bad
O00056,turtleneck,track pants,oxfords,brown,black,green,baggy,regular,slim,casual,0.64,0.64,0.78,0.68,average
O00057,tank top,skirt,sneakers,red,beige,gray,regular,regular,oversized,sport,0.43,0.79,0.91,0.68,average
O00058,flannel,track pants,sneakers,green,green,white,regular,oversized,slim,business,0.53,0.88,0.76,0.7,average
O00059,navy blazer,jeans,boots,brown,beige,red,regular,baggy,tailored,sport,0.69,0.41,0.93,0.68,average
O00060,flannel,shorts,boots,navy,gray,green,slim,slim,oversized,sport,0.75,0.6,0.44,0.61,average
O00061,black hoodie,shorts,boots,green,beige,white,regular,slim,tailored,minimal,0.85,0.49,0.46,0.62,average
O00062,navy blazer,trousers,sneakers,green,red,beige,baggy,oversized,slim,minimal,0.89,0.65,0.87,0.81,good
O00063,linen shirt,chinos,oxfords,white,red,beige,oversized,regular,oversized,business,0.92,0.47,0.7,0.72,average
O00064,linen shirt,track pants,oxfords,black,gray,black,baggy,tailored,slim,sport,0.44,0.66,0.88,0.64,average
O00065,navy blazer,jeans,oxfords,navy,blue,red,oversized,slim,oversized,casual,0.82,0.79,0.43,0.69,average
O00066,polo,shorts,heels,red,white,white,oversized,oversized,tailored,streetwear,0.67,0.7,0.74,0.7,average
O00067,denim jacket,jeans,oxfords,beige,white,green,baggy,oversized,regular,sport,0.7,0.88,0.91,0.82,good
O00068,navy blazer,skirt,oxfords,gray,brown,blue,baggy,regular,baggy,casual,0.76,0.43,0.74,0.66,average
O00069,sweater,cargo pants,sandals,blue,brown,red,regular,slim,regular,sport,0.63,0.89,0.77,0.75,good
O00070,linen shirt,shorts,sandals,brown,brown,green,baggy,baggy,slim,streetwear,0.39,0.78,0.77,0.62,average
O00071,sweater,track pants,sandals,green,gray,navy,baggy,slim,regular,sport,0.52,0.55,0.86,0.63,average
O00072,black hoodie,skirt,boots,gray,red,white,tailored,tailored,regular,casual,0.46,0.69,0.55,0.56,average
O00073,denim jacket,chinos,boots,green,red,blue,regular,tailored,regular,business,0.51,0.41,0.82,0.57,average
O00074,black hoodie,jeans,sandals,gray,brown,brown,tailored,baggy,tailored,minimal,0.52,0.91,0.41,0.6,average
O00075,denim jacket,cargo pants,loafers,red,black,blue,regular,oversized,slim,business,0.42,0.67,0.54,0.53,bad
O00076,linen shirt,track pants,sandals,navy,white,black,baggy,regular,baggy,minimal,0.52,0.84,0.95,0.74,good
O00077,flannel,cargo pants,oxfords,brown,green,navy,oversized,tailored,slim,minimal,0.72,0.55,0.55,0.62,average
O00078,denim jacket,shorts,boots,white,brown,navy,tailored,oversized,regular,minimal,0.87,0.62,0.53,0.69,average
O00079,black hoodie,chinos,sneakers,blue,navy,navy,oversized,slim,oversized,sport,0.63,0.88,0.92,0.79,good
O00080,tank top,trousers,sneakers,brown,red,navy,oversized,slim,baggy,casual,0.68,0.93,0.93,0.83,good
O00081,tank top,trousers,heels,blue,blue,green,oversized,regular,baggy,business,0.39,0.6,0.81,0.58,average
O00082,tank top,jeans,heels,gray,black,blue,regular,tailored,baggy,business,0.36,0.79,0.65,0.58,average
O00083,denim jacket,jeans,sneakers,beige,white,white,baggy,oversized,tailored,minimal,0.91,0.62,0.44,0.68,average
O00084,linen shirt,jeans,loafers,black,black,brown,oversized,slim,oversized,business,0.55,0.68,0.62,0.61,average
O00085,denim jacket,shorts,heels,gray,navy,brown,regular,regular,tailored,minimal,0.58,0.41,0.43,0.48,bad
O00086,white tee,skirt,sneakers,beige,navy,navy,regular,tailored,oversized,minimal,0.66,0.43,0.5,0.54,bad
O00087,navy blazer,shorts,sandals,brown,gray,brown,regular,tailored,tailored,streetwear,0.67,0.55,0.77,0.66,average
O00088,linen shirt,trousers,heels,brown,red,beige,slim,baggy,tailored,streetwear,0.31,0.92,0.43,0.53,bad
O00089,navy blazer,trousers,sneakers,brown,navy,black,tailored,regular,regular,business,0.6,0.82,0.95,0.77,good
O00090,black hoodie,track pants,loafers,brown,black,green,baggy,oversized,baggy,business,0.33,0.52,0.77,0.52,bad
O00091,black hoodie,trousers,oxfords,gray,blue,green,regular,baggy,tailored,sport,0.31,0.93,0.93,0.68,average
O00092,white tee,track pants,sneakers,green,red,blue,oversized,tailored,regular,minimal,0.36,0.63,0.45,0.47,bad
O00093,black hoodie,cargo pants,loafers,brown,beige,gray,regular,regular,baggy,streetwear,0.58,0.94,0.83,0.76,good
O00094,navy blazer,trousers,heels,brown,navy,green,slim,regular,baggy,casual,0.78,0.47,0.78,0.69,average
O00095,polo,cargo pants,heels,brown,red,blue,slim,slim,regular,sport,0.42,0.7,0.9,0.65,average
O00096,polo,skirt,boots,green,white,red,slim,tailored,slim,business,0.79,0.77,0.85,0.8,good
O00097,polo,jeans,sandals,red,beige,green,slim,regular,slim,business,0.79,0.85,0.6,0.75,good
O00098,black hoodie,cargo pants,sandals,blue,beige,navy,oversized,oversized,slim,minimal,0.9,0.6,0.57,0.71,average
O00099,denim jacket,cargo pants,loafers,white,red,green,slim,regular,tailored,business,0.81,0.58,0.46,0.64,average
O00100,denim jacket,jeans,loafers,blue,red,white,regular,oversized,slim,sport,0.63,0.61,0.58,0.61,average
O00101,linen shirt,track pants,heels,navy,black,brown,baggy,baggy,tailored,business,0.34,0.59,0.72,0.53,bad
O00102,white tee,skirt,boots,green,brown,navy,oversized,baggy,oversized,streetwear,0.43,0.93,0.87,0.71,average
O00103,sweater,chinos,heels,white,black,blue,baggy,regular,baggy,sport,0.44,0.67,0.42,0.5,bad
O00104,white tee,skirt,loafers,white,red,brown,oversized,oversized,regular,minimal,0.94,0.92,0.91,0.93,good
O00105,polo,chinos,loafers,green,green,brown,slim,slim,tailored,streetwear,0.69,0.74,0.63,0.69,average
O00106,graphic tee,track pants,sandals,navy,brown,brown,baggy,baggy,baggy,sport,0.45,0.79,0.49,0.56,average
O00107,turtleneck,cargo pants,loafers,beige,navy,gray,baggy,baggy,oversized,sport,0.79,0.62,0.59,0.68,average
O00108,graphic tee,trousers,heels,blue,white,blue,baggy,baggy,baggy,streetwear,0.51,0.62,0.93,0.67,average
O00109,white tee,track pants,sandals,black,red,gray,slim,regular,tailored,business,0.35,0.83,0.73,0.61,average
O00110,flannel,shorts,heels,brown,black,white,regular,baggy,oversized,streetwear,0.89,0.65,0.58,0.73,good
O00111,flannel,track pants,sneakers,gray,black,blue,regular,slim,regular,minimal,0.82,0.57,0.73,0.72,average
O00112,flannel,cargo pants,sneakers,navy,red,brown,oversized,regular,regular,minimal,0.89,0.55,0.87,0.78,good
O00113,navy blazer,skirt,loafers,blue,red,black,oversized,oversized,slim,sport,0.55,0.52,0.56,0.54,bad
O00114,white tee,chinos,sneakers,brown,white,beige,slim,tailored,tailored,casual,0.93,0.63,0.61,0.74,good
O00115,polo,shorts,oxfords,red,beige,beige,regular,slim,baggy,casual,0.8,0.7,0.83,0.78,good
O00116,graphic tee,chinos,oxfords,white,black,green,baggy,regular,baggy,sport,0.31,0.73,0.56,0.51,bad
O00117,flannel,shorts,loafers,blue,green,navy,slim,oversized,baggy,casual,0.66,0.7,0.83,0.72,average
O00118,tank top,jeans,heels,gray,blue,blue,oversized,slim,baggy,casual,0.41,0.6,0.62,0.53,bad
O00119,sweater,jeans,boots,green,navy,green,baggy,tailored,oversized,minimal,0.91,0.69,0.58,0.75,good
O00120,sweater,trousers,oxfords,gray,red,navy,baggy,slim,tailored,streetwear,0.72,0.67,0.67,0.69,average
O00121,tank top,chinos,sandals,blue,navy,green,oversized,baggy,tailored,streetwear,0.61,0.72,0.72,0.68,average
O00122,black hoodie,track pants,loafers,navy,blue,white,baggy,slim,oversized,business,0.66,0.48,0.73,0.63,average
O00123,polo,skirt,loafers,green,white,red,slim,tailored,tailored,streetwear,0.76,0.77,0.66,0.73,good
O00124,tank top,jeans,sandals,red,gray,green,baggy,oversized,regular,casual,0.93,0.4,0.54,0.65,average
O00125,denim jacket,trousers,oxfords,brown,brown,gray,tailored,baggy,baggy,business,0.93,0.52,0.48,0.67,average
O00126,linen shirt,jeans,boots,brown,gray,beige,tailored,slim,baggy,minimal,0.53,0.89,0.56,0.65,average
O00127,sweater,shorts,boots,navy,navy,red,oversized,baggy,slim,business,0.39,0.95,0.75,0.67,average
O00128,polo,track pants,oxfords,black,black,blue,tailored,tailored,regular,streetwear,0.33,0.52,0.46,0.43,bad
O00129,white tee,cargo pants,loafers,navy,red,brown,oversized,oversized,slim,streetwear,0.86,0.88,0.44,0.74,good
O00130,linen shirt,skirt,sandals,black,navy,black,tailored,tailored,slim,casual,0.66,0.93,0.94,0.82,good
O00131,navy blazer,shorts,heels,red,red,red,slim,slim,tailored,minimal,0.69,0.95,0.86,0.82,good
O00132,graphic tee,cargo pants,oxfords,gray,gray,black,oversized,tailored,regular,streetwear,0.45,0.43,0.89,0.58,average
O00133,polo,shorts,sandals,white,beige,gray,regular,oversized,oversized,business,0.37,0.44,0.88,0.54,bad
O00134,polo,track pants,heels,gray,black,navy,regular,regular,oversized,casual,0.34,0.81,0.75,0.6,average
O00135,turtleneck,shorts,sandals,navy,navy,brown,baggy,tailored,tailored,streetwear,0.68,0.59,0.46,0.59,average
O00136,linen shirt,trousers,sneakers,white,green,beige,slim,regular,baggy,streetwear,0.35,0.53,0.52,0.45,bad
O00137,sweater,cargo pants,boots,beige,white,beige,tailored,oversized,oversized,sport,0.57,0.72,0.69,0.65,average
O00138,tank top,shorts,heels,gray,red,green,oversized,oversized,baggy,sport,0.61,0.66,0.55,0.61,average
O00139,black hoodie,jeans,boots,navy,beige,green,baggy,tailored,regular,business,0.9,0.52,0.74,0.74,good
O00140,denim jacket,trousers,loafers,blue,blue,blue,oversized,regular,slim,business,0.31,0.57,0.88,0.56,average
O00141,navy blazer,track pants,sandals,green,gray,blue,oversized,oversized,regular,minimal,0.63,0.47,0.89,0.66,average
O00142,turtleneck,skirt,boots,white,gray,navy,baggy,oversized,tailored,minimal,0.79,0.91,0.5,0.74,good
O00143,graphic tee,jeans,boots,green,beige,red,slim,baggy,tailored,streetwear,0.37,0.44,0.79,0.52,bad
O00144,flannel,chinos,heels,brown,green,brown,oversized,oversized,slim,casual,0.8,0.51,0.82,0.72,average
O00145,navy blazer,track pants,heels,brown,gray,beige,slim,regular,slim,streetwear,0.73,0.73,0.63,0.7,average
O00146,flannel,track pants,oxfords,black,beige,blue,baggy,baggy,oversized,minimal,0.5,0.83,0.86,0.71,average
O00147,graphic tee,chinos,heels,blue,blue,red,tailored,slim,oversized,casual,0.74,0.87,0.87,0.82,good
O00148,graphic tee,skirt,sandals,blue,green,blue,oversized,baggy,regular,minimal,0.43,0.43,0.84,0.55,bad
O00149,sweater,cargo pants,heels,navy,white,navy,oversized,baggy,oversized,minimal,0.69,0.57,0.75,0.67,average
O00150,turtleneck,shorts,loafers,red,brown,blue,slim,slim,slim,streetwear,0.87,0.84,0.74,0.82,good
O00151,flannel,skirt,sandals,black,beige,black,regular,regular,slim,casual,0.67,0.58,0.41,0.56,average
O00152,white tee,skirt,sneakers,navy,brown,red,oversized,tailored,slim,minimal,0.63,0.57,0.87,0.68,average
O00153,turtleneck,track pants,sneakers,navy,brown,green,regular,regular,tailored,minimal,0.56,0.81,0.74,0.69,average
O00154,polo,chinos,heels,blue,gray,black,tailored,tailored,regular,business,0.83,0.95,0.63,0.81,good
O00155,white tee,trousers,loafers,black,blue,blue,baggy,baggy,tailored,business,0.82,0.58,0.92,0.78,good
O00156,linen shirt,jeans,sneakers,beige,blue,navy,baggy,slim,tailored,business,0.93,0.69,0.76,0.81,good
O00157,navy blazer,shorts,sandals,navy,green,brown,slim,regular,oversized,sport,0.53,0.85,0.5,0.62,average
O00158,turtleneck,chinos,sandals,green,brown,beige,tailored,baggy,oversized,casual,0.42,0.42,0.78,0.53,bad
O00159,navy blazer,cargo pants,boots,white,gray,blue,oversized,oversized,tailored,business,0.69,0.62,0.95,0.75,good
O00160,tank top,trousers,oxfords,gray,white,blue,baggy,baggy,tailored,casual,0.8,0.87,0.61,0.76,good
O00161,navy blazer,track pants,oxfords,gray,brown,beige,regular,oversized,slim,sport,0.77,0.55,0.42,0.6,average
O00162,sweater,trousers,heels,brown,white,navy,tailored,baggy,slim,casual,0.83,0.41,0.6,0.64,average
O00163,flannel,chinos,boots,red,blue,green,baggy,baggy,regular,minimal,0.64,0.41,0.71,0.59,average
O00164,denim jacket,track pants,oxfords,blue,gray,green,oversized,baggy,regular,business,0.37,0.45,0.51,0.44,bad
O00165,denim jacket,chinos,sandals,brown,green,black,baggy,tailored,oversized,streetwear,0.91,0.73,0.73,0.8,good
O00166,turtleneck,trousers,heels,navy,red,blue,tailored,tailored,regular,streetwear,0.89,0.8,0.66,0.79,good
O00167,denim jacket,skirt,boots,beige,white,green,tailored,baggy,slim,streetwear,0.69,0.77,0.63,0.7,average
O00168,navy blazer,jeans,sandals,brown,blue,blue,oversized,tailored,slim,business,0.55,0.42,0.83,0.59,average
O00169,denim jacket,jeans,boots,black,navy,blue,slim,oversized,baggy,business,0.44,0.4,0.72,0.51,bad
O00170,white tee,skirt,boots,gray,gray,blue,oversized,regular,oversized,casual,0.33,0.93,0.6,0.59,average
O00171,tank top,track pants,oxfords,navy,gray,brown,regular,regular,baggy,business,0.43,0.88,0.7,0.65,average
O00172,polo,skirt,oxfords,beige,black,gray,baggy,oversized,regular,sport,0.32,0.87,0.6,0.57,average
O00173,turtleneck,trousers,heels,beige,navy,brown,slim,oversized,regular,business,0.41,0.65,0.51,0.51,bad
O00174,turtleneck,trousers,loafers,red,blue,black,oversized,baggy,oversized,streetwear,0.88,0.89,0.53,0.78,good
O00175,turtleneck,track pants,loafers,gray,brown,gray,regular,baggy,slim,minimal,0.31,0.93,0.84,0.66,average
O00176,flannel,jeans,sneakers,green,brown,brown,baggy,oversized,regular,minimal,0.67,0.79,0.89,0.77,good
O00177,turtleneck,cargo pants,heels,brown,navy,gray,tailored,baggy,oversized,minimal,0.77,0.93,0.83,0.84,good
O00178,navy blazer,trousers,loafers,beige,green,red,regular,oversized,baggy,business,0.66,0.62,0.79,0.69,average
O00179,polo,track pants,sneakers,navy,white,navy,slim,slim,baggy,streetwear,0.57,0.78,0.65,0.66,average
O00180,flannel,shorts,loafers,gray,white,green,tailored,regular,slim,casual,0.33,0.59,0.47,0.45,bad
O00181,flannel,trousers,sneakers,green,navy,brown,tailored,regular,regular,casual,0.33,0.56,0.72,0.52,bad
O00182,navy blazer,trousers,loafers,navy,beige,red,slim,oversized,slim,sport,0.31,0.87,0.87,0.65,average
O00183,black hoodie,chinos,oxfords,brown,brown,brown,tailored,tailored,slim,minimal,0.54,0.59,0.87,0.65,average
O00184,black hoodie,shorts,heels,gray,red,blue,baggy,slim,baggy,sport,0.95,0.54,0.79,0.78,good
O00185,graphic tee,track pants,sneakers,white,white,gray,regular,oversized,tailored,minimal,0.32,0.68,0.89,0.6,average
O00186,denim jacket,jeans,loafers,blue,gray,navy,tailored,baggy,oversized,casual,0.54,0.8,0.75,0.68,average
O00187,turtleneck,cargo pants,sandals,white,red,brown,tailored,slim,oversized,casual,0.69,0.62,0.94,0.74,good
O00188,tank top,cargo pants,boots,beige,gray,white,tailored,baggy,tailored,casual,0.42,0.76,0.78,0.63,average
O00189,graphic tee,skirt,heels,white,gray,brown,slim,regular,oversized,minimal,0.67,0.42,0.64,0.59,average
O00190,tank top,track pants,sneakers,brown,white,green,oversized,baggy,oversized,casual,0.35,0.81,0.65,0.58,average
O00191,navy blazer,cargo pants,sandals,beige,brown,navy,oversized,tailored,tailored,minimal,0.38,0.57,0.47,0.46,bad
O00192,navy blazer,jeans,heels,brown,blue,red,tailored,slim,oversized,sport,0.59,0.7,0.93,0.72,average
O00193,denim jacket,chinos,sandals,beige,beige,navy,oversized,regular,slim,minimal,0.53,0.42,0.56,0.51,bad
O00194,turtleneck,track pants,sneakers,navy,green,blue,oversized,regular,slim,sport,0.32,0.93,0.72,0.62,average
O00195,navy blazer,trousers,oxfords,navy,green,gray,baggy,tailored,slim,minimal,0.83,0.77,0.86,0.82,good
O00196,flannel,cargo pants,sneakers,gray,green,beige,slim,slim,baggy,casual,0.86,0.43,0.72,0.69,average
O00197,polo,skirt,boots,white,blue,green,baggy,baggy,tailored,sport,0.74,0.64,0.7,0.7,average
O00198,graphic tee,shorts,heels,gray,black,white,slim,regular,slim,sport,0.34,0.92,0.58,0.59,average
O00199,navy blazer,trousers,oxfords,blue,green,red,regular,oversized,oversized,minimal,0.58,0.73,0.95,0.74,good
O00200,linen shirt,chinos,sandals,navy,brown,navy,baggy,regular,oversized,sport,0.34,0.77,0.66,0.56,average
O00201,polo,trousers,sandals,black,blue,black,baggy,tailored,oversized,casual,0.59,0.6,0.53,0.57,average
O00202,navy blazer,chinos,oxfords,gray,red,white,baggy,slim,tailored,business,0.39,0.52,0.94,0.59,average
O00203,flannel,track pants,heels,blue,white,green,regular,slim,tailored,casual,0.32,0.72,0.77,0.57,average
O00204,flannel,skirt,loafers,navy,brown,navy,slim,regular,baggy,business,0.32,0.77,0.84,0.61,average
O00205,polo,track pants,sandals,navy,white,beige,oversized,tailored,baggy,sport,0.31,0.74,0.69,0.55,bad
O00206,sweater,cargo pants,sneakers,beige,green,blue,slim,slim,slim,minimal,0.65,0.86,0.99,0.81,good
O00207,denim jacket,shorts,heels,brown,black,navy,slim,regular,slim,streetwear,0.8,0.48,0.49,0.61,average
O00208,flannel,shorts,sandals,black,white,red,tailored,slim,regular,streetwear,0.43,0.84,0.5,0.57,average
O00209,linen shirt,trousers,heels,white,beige,beige,baggy,oversized,oversized,casual,0.52,0.66,0.44,0.54,bad
O00210,black hoodie,jeans,boots,navy,black,black,regular,slim,baggy,streetwear,0.8,0.56,0.8,0.73,good
O00211,tank top,jeans,sandals,navy,white,red,baggy,slim,baggy,minimal,0.52,0.92,0.86,0.74,good
O00212,turtleneck,cargo pants,loafers,green,black,gray,oversized,slim,regular,streetwear,0.38,0.85,0.52,0.56,average
O00213,denim jacket,trousers,heels,blue,gray,blue,regular,tailored,slim,streetwear,0.61,0.44,0.55,0.54,bad
O00214,flannel,skirt,loafers,brown,gray,navy,tailored,regular,slim,sport,0.31,0.78,0.5,0.51,bad
O00215,white tee,cargo pants,loafers,blue,blue,beige,baggy,slim,regular,sport,0.6,0.54,0.56,0.57,average
O00216,black hoodie,track pants,sneakers,black,gray,beige,baggy,tailored,slim,sport,0.53,0.4,0.52,0.49,bad
O00217,black hoodie,trousers,loafers,beige,brown,navy,slim,tailored,slim,sport,0.56,0.57,0.45,0.53,bad
O00218,flannel,shorts,sneakers,black,gray,gray,regular,oversized,slim,casual,0.73,0.66,0.86,0.75,good
O00219,linen shirt,trousers,heels,beige,brown,beige,regular,tailored,slim,streetwear,0.86,0.78,0.41,0.7,average
O00220,denim jacket,trousers,oxfords,black,gray,white,oversized,tailored,regular,streetwear,0.86,0.74,0.5,0.72,average
O00221,white tee,chinos,sneakers,blue,white,green,oversized,oversized,tailored,business,0.9,0.73,0.95,0.86,good
O00222,polo,trousers,sneakers,red,white,navy,oversized,tailored,tailored,sport,0.79,0.74,0.84,0.79,good
O00223,navy blazer,jeans,boots,navy,red,black,oversized,regular,oversized,sport,0.8,0.65,0.74,0.74,good
O00224,white tee,shorts,heels,blue,white,red,oversized,tailored,slim,casual,0.77,0.55,0.41,0.6,average
O00225,navy blazer,skirt,oxfords,brown,black,brown,oversized,slim,slim,sport,0.59,0.69,0.73,0.66,average
O00226,turtleneck,jeans,heels,beige,black,red,oversized,oversized,slim,casual,0.89,0.56,0.74,0.75,good
O00227,sweater,jeans,loafers,brown,navy,gray,oversized,regular,tailored,casual,0.33,0.79,0.76,0.6,average
O00228,linen shirt,cargo pants,boots,black,blue,gray,baggy,tailored,oversized,sport,0.67,0.57,0.73,0.66,average
O00229,sweater,track pants,oxfords,green,red,white,tailored,slim,slim,casual,0.37,0.81,0.77,0.62,average
O00230,polo,shorts,boots,blue,brown,white,oversized,slim,regular,casual,0.53,0.79,0.51,0.6,average
O00231,turtleneck,cargo pants,sneakers,gray,green,brown,tailored,oversized,oversized,minimal,0.62,0.59,0.71,0.64,average
O00232,black hoodie,chinos,loafers,brown,red,gray,oversized,regular,oversized,business,0.64,0.68,0.46,0.6,average
O00233,polo,trousers,sandals,brown,gray,white,baggy,oversized,regular,sport,0.43,0.79,0.74,0.63,average
O00234,navy blazer,track pants,loafers,red,beige,beige,oversized,tailored,baggy,minimal,0.36,0.71,0.71,0.57,average
O00235,linen shirt,shorts,sandals,white,brown,white,tailored,tailored,tailored,minimal,0.43,0.76,0.81,0.64,average
O00236,sweater,trousers,heels,blue,red,red,baggy,baggy,regular,minimal,0.57,0.82,0.92,0.75,good
O00237,black hoodie,jeans,heels,brown,brown,gray,tailored,slim,tailored,business,0.35,0.62,0.89,0.59,average
O00238,tank top,cargo pants,oxfords,brown,green,beige,slim,regular,baggy,minimal,0.59,0.42,0.42,0.49,bad
O00239,denim jacket,trousers,boots,navy,white,blue,tailored,baggy,slim,sport,0.58,0.8,0.54,0.63,average
O00240,flannel,shorts,sneakers,gray,blue,blue,baggy,regular,regular,casual,0.33,0.81,0.4,0.49,bad
