outfit_id,season,occasion,brand_coherence,season_fit,style_score,color_score,fit_score,style_consistency,formality_match,occasion_fit,contrast_score,clash_penalty,harmony_type,proportion_score,silhouette_balance,fit_quality,final_score,label,source_label
"O00065","all-season","casual",0.62,0.85,0.61,0.71,0.87,0.54,0.75,0.88,0.5,0,"complementary",0.8,0.9,0.89,0.72,"good","average"
"O00066","summer","date",1,0.95,0.3,0.94,0.84,0.08,0.28,0.9,0.9,0,"monochromatic",0.8,0.9,0.8,0.4,"average","average"
"O00067","spring","gym",1,0.95,0.55,1,0.84,0.43,0.75,0.55,0.92,0,"monochromatic",0.8,0.9,0.8,0.77,"good","good"
"O00068","all-season","casual",0.88,0.85,0.64,0.85,0.87,0.54,0.75,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.77,"good","average"
"O00069","autumn","travel",1,0.6,0.5,0.76,0.84,0.28,0.75,0.88,0.52,0,"complementary",0.8,0.9,0.8,0.42,"average","good"
"O00070","summer","casual",1,1,0.48,0.83,0.84,0.16,0.75,0.88,0.69,0,"analogous",0.8,0.9,0.8,0.42,"average","average"
"O00071","autumn","gym",1,0.6,0.39,0.92,0.84,0.24,0.5,0.92,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00072","all-season","casual",0.88,0.85,0.6,0.93,0.84,0.46,0.75,0.88,0.88,0,"monochromatic",0.8,0.9,0.79,0.77,"good","average"
"O00073","spring","office",1,0.95,0.79,0.8,0.84,0.63,1,0.93,0.6,0,"complementary",0.8,0.9,0.8,0.81,"good","average"
"O00074","all-season","casual",0.88,0.85,0.46,0.93,0.84,0.24,0.75,0.88,0.88,0,"monochromatic",0.8,0.9,0.79,0.42,"average","average"
"O00075","spring","office",1,0.95,0.52,0.92,0.84,0.23,0.75,0.93,0.84,0,"complementary",0.8,0.9,0.8,0.42,"average","bad"
"O00076","summer","casual",0.88,1,0.38,1,0.84,0.18,0.5,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.42,"average","good"
"O00077","autumn","casual",1,0.95,0.41,0.85,0.84,0.09,0.75,0.88,0.67,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","average"
"O00078","spring","casual",1,0.8,0.51,0.92,0.84,0.46,0.41,0.88,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.73,"good","average"
"O00079","all-season","travel",0.88,0.85,0.58,0.88,0.84,0.42,0.75,0.88,0.78,0,"monochromatic",0.8,0.9,0.79,0.75,"good","good"
"O00080","summer","gym",0.88,0.95,0.53,0.75,0.84,0.42,0.5,0.92,0.57,0,"mixed_harmonious",0.8,0.9,0.8,0.69,"average","good"
"O00081","summer","gym",0.88,0.95,0.11,0.81,0.84,0.08,0.09,0.25,0.59,0,"mixed_harmonious",0.8,0.9,0.8,0.34,"bad","average"
"O00082","summer","gym",0.88,0.95,0.1,1,0.84,0.07,0.09,0.25,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","average"
"O00083","spring","casual",1,0.95,0.61,0.98,0.84,0.42,0.75,0.88,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.79,"good","average"
"O00084","summer","office",1,0.95,0.65,1,0.84,0.49,0.75,0.93,0.92,0,"monochromatic",0.8,0.9,0.8,0.81,"good","average"
"O00085","spring","date",1,0.8,0.27,0.92,0.84,0.07,0.28,0.9,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","bad"
"O00086","all-season","casual",0.88,0.85,0.48,0.93,0.84,0.21,0.75,0.88,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average","bad"
"O00087","summer","date",0.62,1,0.3,0.94,0.87,0.18,0.18,0.9,0.9,0,"monochromatic",0.8,0.9,0.89,0.42,"average","average"
"O00088","summer","date",1,0.95,0.52,0.85,0.84,0.33,0.75,0.9,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.72,"good","bad"
"O00089","all-season","office",0.88,0.85,0.51,0.85,0.87,0.39,0.5,0.93,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.72,"good","good"
"O00090","all-season","office",0.88,0.85,0.12,0.92,0.84,0.09,0.09,0.28,0.87,0,"analogous",0.8,0.9,0.79,0.4,"average","bad"
"O00091","all-season","travel",0.88,0.85,0.35,0.85,0.84,0.08,0.5,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.79,0.34,"bad","average"
"O00092","all-season","casual",0.88,0.85,0.63,0.73,0.84,0.68,0.5,0.88,0.56,0,"complementary",0.8,0.9,0.8,0.72,"good","bad"
"O00093","all-season","gym",0.88,0.85,0.25,0.93,0.84,0.18,0.28,0.55,0.88,0,"monochromatic",0.8,0.9,0.79,0.42,"average","good"
"O00094","all-season","date",0.88,0.85,0.62,0.74,0.87,0.5,0.75,0.9,0.55,0,"mixed_harmonious",0.8,0.9,0.89,0.73,"good","average"
"O00095","all-season","date",1,0.85,0.44,0.7,0.84,0.09,0.75,0.9,0.48,0,"complementary",0.8,0.9,0.8,0.4,"average","average"
"O00096","all-season","office",1,0.85,0.75,0.85,0.84,0.63,1,0.78,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.81,"good","good"
"O00097","all-season","office",1,0.85,0.58,0.85,0.84,0.44,0.75,0.78,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.74,"good","good"
"O00098","all-season","casual",0.62,0.85,0.42,0.93,0.84,0.2,0.75,0.88,0.88,0,"monochromatic",0.8,0.9,0.79,0.42,"average","average"
"O00099","spring","office",1,0.95,0.52,0.92,0.84,0.23,0.75,0.93,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00100","spring","gym",1,0.95,0.59,0.92,0.84,0.53,0.75,0.55,0.84,0,"complementary",0.8,0.9,0.8,0.76,"good","average"
"O00101","summer","date",1,0.95,0.11,0.92,0.84,0.05,0.09,0.32,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","bad"
"O00102","all-season","weekend",0.88,0.85,0.69,0.74,0.84,0.49,1,0.88,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.75,"good","average"
"O00103","autumn","date",1,0.95,0.61,1,0.84,0.42,0.75,0.9,0.92,0,"monochromatic",0.8,0.9,0.8,0.8,"good","bad"
"O00104","all-season","casual",0.88,0.85,0.5,0.85,0.84,0.33,0.75,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.71,"good","good"
"O00105","all-season","office",1,0.85,0.73,0.87,0.84,0.67,0.75,0.93,0.77,0,"analogous",0.8,0.9,0.8,0.81,"good","average"
"O00106","all-season","gym",0.88,0.85,0.38,0.78,0.84,0.2,0.5,0.92,0.63,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00107","winter","travel",1,0.95,0.56,1,0.84,0.32,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.78,"good","average"
"O00108","all-season","date",0.88,0.85,0.43,0.93,0.84,0.09,0.75,0.9,0.88,0,"monochromatic",0.8,0.9,0.8,0.4,"average","average"
"O00109","all-season","office",0.88,0.85,0.28,0.93,0.84,0.24,0.5,0.28,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average","average"
"O00110","summer","date",1,0.8,0.27,1,0.84,0.07,0.28,0.9,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","good"
"O00111","autumn","casual",1,0.95,0.66,1,0.84,0.68,0.5,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.82,"good","average"
"O00112","autumn","casual",1,0.95,0.55,0.81,0.84,0.41,0.75,0.88,0.59,0,"mixed_harmonious",0.8,0.9,0.8,0.72,"good","good"
"O00113","all-season","gym",0.88,0.85,0.52,0.85,0.87,0.54,0.75,0.25,0.8,0,"complementary",0.8,0.9,0.89,0.72,"good","bad"
"O00114","all-season","casual",0.88,0.85,0.49,0.93,0.84,0.31,0.75,0.88,0.88,0,"monochromatic",0.8,0.9,0.8,0.73,"good","good"
"O00115","summer","casual",1,0.95,0.29,0.94,0.84,0.08,0.28,0.88,0.9,0,"monochromatic",0.8,0.9,0.8,0.4,"average","good"
"O00116","all-season","gym",0.88,0.85,0.36,0.93,0.84,0.09,0.75,0.55,0.88,0,"monochromatic",0.8,0.9,0.8,0.4,"average","bad"
"O00117","summer","casual",0.88,0.8,0.34,0.85,0.84,0.2,0.28,0.88,0.67,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00118","summer","gym",0.88,0.95,0.1,1,0.84,0.07,0.09,0.25,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","bad"
"O00119","autumn","casual",1,0.95,0.78,0.81,0.84,0.62,1,0.88,0.59,0,"mixed_harmonious",0.8,0.9,0.8,0.81,"good","good"
"O00120","autumn","gym",0.88,0.95,0.53,0.91,0.84,0.42,0.75,0.55,0.79,0,"mixed_harmonious",0.8,0.9,0.8,0.74,"good","average"
"O00121","summer","gym",0.88,1,0.38,0.85,0.84,0.18,0.5,0.92,0.67,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00122","all-season","office",0.88,0.85,0.12,0.93,0.84,0.09,0.09,0.28,0.88,0,"monochromatic",0.8,0.9,0.79,0.4,"average","average"
"O00123","all-season","date",1,0.85,0.7,0.85,0.84,0.62,0.75,0.9,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.79,"good","good"
"O00124","summer","gym",0.88,1,0.41,0.85,0.84,0.24,0.5,0.92,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00125","spring","office",1,0.95,0.62,1,0.84,0.42,0.75,0.93,0.92,0,"monochromatic",0.8,0.9,0.8,0.8,"good","average"
"O00126","summer","casual",1,0.95,0.64,1,0.84,0.46,1,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.81,"good","average"
"O00127","summer","office",1,0.8,0.49,0.82,0.84,0.46,0.41,0.78,0.61,0,"mixed_harmonious",0.8,0.9,0.8,0.69,"average","average"
"O00128","all-season","casual",0.62,0.85,0.17,0.93,0.84,0.08,0.09,0.62,0.88,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","bad"
"O00129","all-season","weekend",0.88,0.85,0.42,0.74,0.84,0.16,0.75,0.88,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","good"
"O00130","summer","casual",1,1,0.62,1,0.84,0.44,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.8,"good","good"
"O00131","summer","date",0.62,0.95,0.26,0.74,0.87,0.09,0.18,0.9,0.64,0,"monochromatic",0.8,0.9,0.89,0.4,"average","good"
"O00132","all-season","travel",0.88,0.85,0.5,0.91,0.84,0.26,0.75,0.88,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.4,"average","average"
"O00133","summer","office",1,1,0.46,0.98,0.84,0.16,0.75,0.78,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.42,"average","bad"
"O00134","all-season","date",1,0.85,0.13,0.93,0.84,0.08,0.09,0.32,0.88,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","average"
"O00135","summer","casual",1,0.53,0.59,0.81,0.84,0.48,0.75,0.88,0.59,0,"mixed_harmonious",0.8,0.9,0.8,0.73,"good","average"
"O00136","summer","weekend",1,0.95,0.59,1,0.84,0.38,0.75,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.79,"good","bad"
"O00137","autumn","travel",1,0.95,0.77,0.98,0.84,0.6,1,0.88,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.85,"good","average"
"O00138","summer","gym",0.88,0.95,0.22,0.85,0.84,0.33,0.09,0.25,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","average"
"O00139","all-season","office",0.88,0.85,0.58,0.85,0.84,0.46,0.75,0.78,0.78,0,"mixed_harmonious",0.8,0.9,0.79,0.74,"good","good"
"O00140","spring","office",1,0.95,0.71,0.88,0.84,0.62,0.75,0.93,0.78,0,"monochromatic",0.8,0.9,0.8,0.8,"good","average"
"O00141","all-season","casual",0.88,0.85,0.24,0.85,0.87,0.21,0.14,0.62,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.42,"average","average"
"O00142","winter","casual",0.88,0.95,0.75,1,0.84,0.6,1,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.85,"good","good"
"O00143","all-season","weekend",0.88,0.85,0.74,0.85,0.84,0.6,1,0.88,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.8,"good","bad"
"O00144","autumn","date",1,0.95,0.61,0.9,0.84,0.42,0.75,0.9,0.73,0,"analogous",0.8,0.9,0.8,0.77,"good","average"
"O00145","all-season","date",0.88,0.85,0.13,0.93,0.87,0.09,0.09,0.32,0.88,0,"monochromatic",0.8,0.9,0.89,0.34,"bad","average"
"O00146","autumn","casual",1,0.95,0.17,1,0.84,0.07,0.09,0.62,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","average"
"O00147","all-season","date",0.88,0.85,0.43,0.71,0.84,0.09,0.75,0.9,0.5,0,"complementary",0.8,0.9,0.8,0.4,"average","good"
"O00148","all-season","casual",0.88,0.85,0.52,0.74,0.84,0.28,0.75,0.88,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","bad"
"O00149","autumn","date",1,0.95,0.41,0.94,0.84,0.09,0.75,0.9,0.9,0,"monochromatic",0.8,0.9,0.8,0.4,"average","average"
"O00150","summer","weekend",1,0.45,0.36,0.74,0.84,0.29,0.28,0.88,0.58,0,"complementary",0.8,0.9,0.8,0.62,"average","good"
"O00151","autumn","casual",1,0.6,0.72,0.98,0.84,0.74,0.75,0.88,0.9,0,"neutral_dominant",0.8,0.9,0.8,0.83,"good","average"
"O00152","all-season","casual",0.88,0.85,0.48,0.74,0.84,0.21,0.75,0.88,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average","average"
"O00153","winter","casual",0.88,0.95,0.65,0.85,0.84,0.68,0.5,0.88,0.67,0,"mixed_harmonious",0.8,0.9,0.8,0.77,"good","average"
"O00154","all-season","date",1,0.85,0.56,0.93,0.84,0.44,0.75,0.9,0.88,0,"monochromatic",0.8,0.9,0.8,0.76,"good","good"
"O00155","all-season","office",0.88,0.85,0.6,0.93,0.84,0.43,0.75,0.93,0.88,0,"monochromatic",0.8,0.9,0.8,0.77,"good","good"
"O00156","summer","office",1,0.95,0.42,1,0.84,0.08,0.75,0.78,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","good"
"O00157","summer","gym",0.88,1,0.19,0.81,0.87,0.18,0.18,0.25,0.59,0,"mixed_harmonious",0.8,0.9,0.89,0.42,"average","average"
"O00158","winter","casual",1,0.6,0.59,0.98,0.84,0.48,0.75,0.88,0.91,0,"analogous",0.8,0.9,0.8,0.78,"good","bad"
"O00159","all-season","office",0.88,0.85,0.45,0.93,0.87,0.11,0.75,0.93,0.88,0,"monochromatic",0.8,0.9,0.89,0.4,"average","good"
"O00160","summer","gym",0.88,0.95,0.17,1,0.84,0.08,0.09,0.55,0.92,0,"monochromatic",0.8,0.9,0.8,0.34,"bad","good"
"O00161","all-season","gym",0.88,0.85,0.12,0.93,0.87,0.09,0.09,0.25,0.88,0,"monochromatic",0.8,0.9,0.89,0.34,"bad","average"
"O00162","autumn","date",1,0.95,0.61,0.92,0.84,0.42,0.75,0.9,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.77,"good","average"
"O00163","autumn","casual",1,0.95,0.78,0.8,0.84,0.63,1,0.88,0.6,0,"complementary",0.8,0.9,0.8,0.8,"good","average"
"O00164","spring","office",0.62,0.95,0.21,0.92,0.84,0.07,0.09,0.93,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.34,"bad","bad"
"O00165","spring","date",1,0.95,0.58,0.98,0.84,0.44,0.75,0.68,0.91,0,"analogous",0.8,0.9,0.8,0.78,"good","good"
"O00166","winter","date",1,0.95,0.61,0.77,0.84,0.42,0.75,0.9,0.54,0,"complementary",0.8,0.9,0.8,0.73,"good","good"
"O00167","spring","travel",1,0.95,0.78,1,0.84,0.62,1,0.88,0.92,0,"monochromatic",0.8,0.9,0.8,0.86,"good","average"
"O00168","all-season","office",0.88,0.85,0.58,0.74,0.87,0.54,0.5,0.93,0.55,0,"mixed_harmonious",0.8,0.9,0.89,0.72,"good","average"
"O00169","spring","office",1,0.95,0.76,0.94,0.84,0.62,1,0.78,0.9,0,"monochromatic",0.8,0.9,0.8,0.84,"good","bad"
"O00170","all-season","casual",0.88,0.85,0.69,0.93,0.84,0.49,1,0.88,0.88,0,"monochromatic",0.8,0.9,0.8,0.81,"good","average"
"O00171","summer","gym",0.88,0.95,0.35,0.92,0.84,0.44,0.09,0.55,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","average"
"O00172","all-season","gym",1,0.85,0.53,0.91,0.84,0.42,0.75,0.55,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.74,"good","average"
"O00173","winter","date",1,0.95,0.61,0.92,0.84,0.42,0.75,0.9,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.77,"good","bad"
"O00174","winter","travel",1,0.95,0.6,0.92,0.84,0.48,0.75,0.72,0.84,0,"complementary",0.8,0.9,0.8,0.77,"good","good"
"O00175","winter","casual",0.88,0.95,0.29,1,0.84,0.29,0.09,0.62,0.92,0,"monochromatic",0.8,0.9,0.8,0.4,"average","average"
"O00176","autumn","casual",1,0.95,0.61,0.94,0.84,0.42,0.75,0.88,0.81,0,"analogous",0.8,0.9,0.8,0.78,"good","good"
"O00177","winter","date",1,0.95,0.44,0.92,0.84,0.09,0.75,0.9,0.82,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average","good"
