outfit_id,style_score,color_score,fit_score,style_consistency,formality_match,occasion_fit,contrast_score,clash_penalty,harmony_type,proportion_score,silhouette_balance,fit_quality,final_score,label
"O037",0.67,0.91,0.84,0.53,1,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.79,"good"
"O038",0.7,0.72,0.84,0.63,0.75,0.8,0.54,0,"triadic",0.8,0.9,0.8,0.75,"good"
"O039",0.7,0.93,0.73,0.63,0.75,0.8,0.88,0,"monochromatic",0.8,0.6,0.84,0.78,"good"
"O040",0.67,0.93,0.84,0.56,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.8,"good"
"O041",0.43,0.93,0.84,0.24,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O042",0.66,0.78,0.84,0.4,1,0.8,0.63,0,"mixed_harmonious",0.8,0.9,0.8,0.75,"good"
"O043",0.5,0.93,0.84,0.23,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O044",0.24,0.71,0.84,0.12,0.09,0.8,0.48,0,"mixed_harmonious",0.8,0.9,0.8,0.34,"bad"
"O045",0.45,0.91,0.87,0.53,0.09,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.89,0.4,"average"
"O046",0.52,0.93,0.84,0.48,0.41,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.74,"good"
"O047",0.39,0.93,0.84,0.24,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O048",0.5,0.92,0.84,0.22,0.75,0.8,0.87,0,"analogous",0.8,0.9,0.8,0.42,"average"
"O049",0.46,0.33,0.84,0.3,0.5,0.8,0.32,1,"mixed_harmonious",0.8,0.9,0.8,0.54,"average"
"O050",0.65,0.31,0.87,0.52,0.75,0.8,0.24,1,"analogous",0.8,0.9,0.89,0.61,"average"
"O051",0.7,0.93,0.83,0.63,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.78,0.81,"good"
"O052",0.67,0.91,0.84,0.71,0.5,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.79,"good"
"O053",0.7,0.81,0.84,0.63,0.75,0.8,0.78,0.25,"monochromatic",0.8,0.9,0.8,0.78,"good"
"O054",0.6,0.92,0.84,0.42,0.75,0.8,0.87,0,"analogous",0.8,0.9,0.8,0.77,"good"
"O055",0.65,0.69,0.84,0.68,0.5,0.8,0.59,0.2,"complementary",0.8,0.9,0.8,0.72,"good"
"O056",0.7,0.83,0.73,0.48,1,0.8,0.73,0,"mixed_harmonious",0.8,0.6,0.84,0.75,"good"
"O057",0.75,0.89,0.84,0.57,1,0.8,0.82,0,"analogous",0.8,0.9,0.8,0.82,"good"
"O058",0.52,0.89,0.86,0.35,0.75,0.8,0.82,0,"analogous",0.8,0.9,0.87,0.73,"good"
"O059",0.54,0.83,0.84,0.45,0.5,0.8,0.73,0,"mixed_harmonious",0.8,0.9,0.8,0.72,"good"
"O060",0.4,0.83,0.85,0.04,0.75,0.8,0.73,0,"mixed_harmonious",0.8,0.9,0.84,0.4,"average"
"O061",0.35,0.85,0.84,0.2,0.41,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average"
"O062",0.23,0.68,0.84,0.09,0.09,0.8,0.58,0.25,"mixed_harmonious",0.8,0.9,0.8,0.4,"average"
"O063",0.33,0.91,0.84,0.29,0.09,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.4,"average"
"O064",0.53,0.31,0.73,0.29,0.75,0.8,0.14,0.8,"mixed_harmonious",0.8,0.6,0.84,0.52,"average"
"O065",0.45,0.91,0.87,0.53,0.09,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.89,0.4,"average"
"O066",0.68,0.84,0.83,0.43,1,0.8,0.78,0,"complementary",0.8,0.9,0.78,0.77,"good"
"O067",0.62,0.93,0.84,0.32,1,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.78,"good"
"O068",0.38,0.89,0.84,0.2,0.41,0.8,0.82,0,"analogous",0.8,0.9,0.8,0.42,"average"
"O069",0.24,0.93,0.84,0.1,0.09,0.8,0.88,0,"monochromatic",0.8,0.9,0.81,0.4,"average"
"O070",0.26,0.82,0.84,0.19,0.09,0.8,0.67,0,"analogous",0.8,0.9,0.8,0.35,"bad"
"O071",0.76,0.81,0.84,0.74,0.75,0.8,0.78,0.25,"monochromatic",0.8,0.9,0.8,0.8,"good"
"O072",0.45,0.85,0.84,0.53,0.09,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.4,"average"
"O073",0.21,0.85,0.84,0.05,0.09,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.34,"bad"
"O074",0.56,0.69,0.84,0.36,0.75,0.8,0.59,0.2,"complementary",0.8,0.9,0.8,0.68,"average"
"O075",0.65,0.74,0.84,0.68,0.5,0.8,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.73,"good"
"O076",0.55,0.74,0.84,0.48,0.5,0.8,0.55,0,"mixed_harmonious",0.8,0.9,0.8,0.69,"average"
"O077",0.37,0.78,0.85,0.04,0.75,0.8,0.63,0,"mixed_harmonious",0.8,0.9,0.84,0.4,"average"
"O078",0.49,0.81,0.83,0.45,0.5,0.8,0.78,0.25,"monochromatic",0.8,0.9,0.78,0.69,"average"
"O079",0.55,0.86,0.84,0.32,0.75,0.8,0.83,0,"complementary",0.8,0.9,0.8,0.73,"good"
"O080",0.65,0.93,0.73,0.53,0.75,0.8,0.88,0,"monochromatic",0.8,0.6,0.84,0.76,"good"
"O081",0.6,0.87,0.85,0.42,0.75,0.8,0.77,0,"analogous",0.8,0.9,0.82,0.76,"good"
"O082",0.52,0.85,0.84,0.27,0.75,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.72,"good"
"O083",0.44,0.62,0.84,0.25,0.5,0.8,0.61,0.6,"monochromatic",0.8,0.9,0.8,0.4,"average"
"O084",0.45,0.73,0.87,0.27,0.5,0.8,0.56,0,"complementary",0.8,0.9,0.89,0.66,"average"
"O085",0.46,0.43,0.84,0.3,0.5,0.8,0.36,0.8,"analogous",0.8,0.9,0.81,0.56,"average"
"O086",0.51,0.78,0.69,0.33,0.75,0.8,0.63,0,"mixed_harmonious",0.7,0.6,0.79,0.65,"average"
"O087",0.3,0.78,0.74,0.09,0.41,0.8,0.63,0,"mixed_harmonious",0.8,0.6,0.86,0.4,"average"
"O088",0.3,0.84,0.84,0.22,0.09,0.8,0.78,0,"complementary",0.8,0.9,0.81,0.42,"average"
"O089",0.35,0.91,0.84,0.32,0.09,0.8,0.86,0,"neutral_dominant",0.8,0.9,0.8,0.4,"average"
"O090",0.27,0.93,0.84,0.05,0.28,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.4,"average"
"O091",0.19,0.93,0.84,0.04,0.09,0.8,0.88,0,"monochromatic",0.8,0.9,0.81,0.34,"bad"
"O092",0.53,0.85,0.84,0.29,0.75,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.72,"good"
"O093",0.33,0.59,0.82,0.32,0.14,0.8,0.36,0.25,"neutral_dominant",0.8,0.8,0.86,0.56,"average"
"O094",0.19,0.92,0.84,0.05,0.09,0.8,0.87,0,"analogous",0.8,0.9,0.8,0.34,"bad"
"O095",0.47,0.27,0.84,0.18,0.75,0.8,0,0.8,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O096",0.69,0.92,0.83,0.75,0.5,0.8,0.87,0,"analogous",0.8,0.9,0.78,0.8,"good"
"O097",0.6,0.78,0.84,0.42,0.75,0.8,0.59,0,"analogous",0.8,0.9,0.8,0.73,"good"
"O098",0.37,0.93,0.84,0.03,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.34,"bad"
"O099",0.35,0.93,0.84,0.08,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.4,"average"
"O100",0.62,0.93,0.84,0.32,1,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.78,"good"
"O101",0.44,0.93,0.84,0.26,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
"O102",0.42,0.93,0.87,0.29,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.89,0.71,"good"
"O103",0.56,0.5,0.84,0.45,0.75,0.8,0.41,0.6,"mixed_harmonious",0.8,0.9,0.8,0.63,"average"
"O104",0.54,0.82,0.83,0.45,0.5,0.8,0.67,0,"analogous",0.8,0.9,0.78,0.71,"good"
"O105",0.42,0.89,0.87,0.07,0.75,0.8,0.82,0,"analogous",0.8,0.9,0.89,0.4,"average"
"O106",0.58,0.89,0.84,0.23,1,0.8,0.82,0,"analogous",0.8,0.9,0.8,0.42,"average"
"O107",0.54,0.85,0.86,0.45,0.5,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.87,0.73,"good"
"O108",0.7,0.53,0.84,0.63,0.75,0.8,0.45,0.6,"analogous",0.8,0.9,0.8,0.69,"average"
"O109",0.51,0.82,0.73,0.11,1,0.8,0.67,0,"analogous",0.8,0.6,0.84,0.34,"bad"
"O110",0.22,0.93,0.85,0.06,0.09,0.8,0.88,0,"monochromatic",0.8,0.9,0.84,0.34,"bad"
"O111",0.57,0.93,0.84,0.33,1,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.76,"good"
"O112",0.46,0.6,0.87,0.3,0.5,0.8,0.56,0.6,"monochromatic",0.8,0.9,0.89,0.63,"average"
"O113",0.57,0.85,0.84,0.22,1,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.8,0.42,"average"
"O114",0.27,0.92,0.84,0.05,0.28,0.8,0.87,0,"analogous",0.8,0.9,0.8,0.4,"average"
"O115",0.75,0.83,0.84,0.58,1,0.8,0.73,0,"mixed_harmonious",0.8,0.9,0.8,0.8,"good"
"O116",0.42,0.85,0.84,0.21,0.5,0.8,0.7,0,"monochromatic",0.8,0.9,0.79,0.35,"bad"
"O117",0.61,0.81,0.84,0.3,1,0.8,0.78,0.25,"monochromatic",0.8,0.9,0.8,0.74,"good"
"O118",0.42,0.85,0.87,0.29,0.5,0.8,0.78,0,"mixed_harmonious",0.8,0.9,0.89,0.68,"average"
"O119",0.52,0.93,0.85,0.27,0.75,0.8,0.88,0,"monochromatic",0.8,0.9,0.84,0.74,"good"
"O120",0.37,0.93,0.84,0.19,0.5,0.8,0.88,0,"monochromatic",0.8,0.9,0.8,0.42,"average"
